Time(s),HeartRate(1/min),TotalLungVolume(mL),RespirationRate(1/min),BloodVolume(mL)
9.42,72.016686,2242.891704,12.096774,5492.487759
9.44,72.016686,2242.891703,12.096774,5492.488509
9.46,72.016686,2242.891701,12.096774,5492.489277
9.48,72.016686,2242.891700,12.096774,5492.490065
9.50,72.016686,2242.891699,12.096774,5492.490872
9.52,72.016686,2242.891698,12.096774,5492.491697
9.54,72.016686,2242.891697,12.096774,5492.492540
9.56,72.016686,2242.891696,12.096774,5492.493402
9.58,72.016686,2242.891696,12.096774,5492.494280
9.60,72.016686,2244.294319,12.096774,5492.495176
9.62,72.016686,2246.911276,12.096774,5492.496089
9.64,72.016686,2250.566799,12.096774,5492.497019
9.66,72.016686,2255.104266,12.096774,5492.497964
9.68,72.016686,2260.387732,12.096774,5492.498926
9.70,72.016686,2266.300997,12.096774,5492.499904
9.72,72.016686,2272.745628,12.096774,5492.500897
9.74,72.017561,2279.638655,12.096774,5492.501905
9.76,72.017561,2286.910296,12.096774,5492.502928
9.78,72.017561,2294.501879,12.096774,5492.503965
9.80,72.017561,2302.364010,12.096774,5492.505016
9.82,72.017561,2310.455008,12.096774,5492.506048
9.84,72.017561,2318.739580,12.096774,5492.507035
9.86,72.017561,2327.187707,12.096774,5492.507961
9.88,72.017561,2335.773725,12.096774,5492.508822
9.90,72.017561,2344.475560,12.048193,5492.509619
9.92,72.017561,2353.274092,12.048193,5492.510361
9.94,72.017561,2362.152639,12.048193,5492.511055
9.96,72.017561,2371.096520,12.048193,5492.511711
9.98,72.017561,2380.092710,12.048193,5492.512338
10.00,72.017561,2389.129538,12.048193,5492.512943
10.02,72.017561,2398.196455,12.048193,5492.513532
10.04,72.017561,2407.283832,12.048193,5492.514112
10.06,72.017561,2416.382797,12.048193,5492.514687
10.08,72.017561,2425.485104,12.048193,5492.515260
10.10,72.017561,2434.583019,12.048193,5492.515838
10.12,72.017561,2443.669230,12.048193,5492.516426
10.14,72.017561,2452.736773,12.048193,5492.517033
10.16,72.017561,2461.778971,12.048193,5492.517660
10.18,72.017561,2470.789380,12.048193,5492.518309
10.20,72.017561,2479.761753,12.048193,5492.518977
10.22,72.017561,2488.690003,12.048193,5492.519667
10.24,72.017561,2497.568174,12.048193,5492.520376
10.26,72.017561,2506.390424,12.048193,5492.521105
10.28,72.017561,2515.151003,12.048193,5492.521854
10.30,72.017561,2523.844239,12.048193,5492.522623
10.32,72.017561,2532.464531,12.048193,5492.523411
10.34,72.017561,2541.006333,12.048193,5492.524218
10.36,72.017561,2549.464157,12.048193,5492.525043
10.38,72.017561,2557.832561,12.048193,5492.525886
10.40,72.017561,2566.106147,12.048193,5492.526747
10.42,72.017561,2574.279564,12.048193,5492.527626
10.44,72.017561,2582.347501,12.048193,5492.528522
10.46,72.017561,2590.304691,12.048193,5492.529434
10.48,72.017561,2598.145912,12.048193,5492.530364
10.50,72.017561,2605.865984,12.048193,5492.531309
10.52,72.017561,2613.459778,12.048193,5492.532271
10.54,72.017561,2620.922214,12.048193,5492.533248
10.56,72.017561,2628.248263,12.048193,5492.534241
